N,81cN,seconds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
3,85320,0.001,84240,1080
4,1663740,0.002,1579500,84240
5,25621596,0.045,22441536,3116880,63180
6,324540216,0.567,247615056,71772480,5068440,84240
7,3477216600,6.323,2144076480,1137240000,184485600,11372400,,42120
8,32164253550,69.058,14587567020,12981215520,3996514080,573168960,22744800,3032640,,,10530
9,260887834350,646.811,77541824880,108956689920,56941354080,15417548640,1857807900,160729920,11119680,,758160,,,,1170
10,1878392407320,5697.06,318294370368,676366666560,557948898000,253318946400,62354111040,9176162112,827405280,78848640,23882040,3032640,,,84240
11,12124169174520,45298,991227481920,3091339021680,3829696640640,2704419900000,1144078603200,306795509280,49231877760,6382949040,729349920,243622080,21228480,,2611440,379080
12,70724320184700,324480,2284535476080,10266579666720,18459179294400,19278240770880,12746054337120,5650817178240,1649199670560,330527433600,48500063820,8323838640,2091005280,160729920,86346000,21340800,3032640
13,1000000000,4156.98,10030248,64555938,164880955,246100265,239968538,162706810,77655060,26342198,6315896,1151972,234734,45200,8772,2372,974,47,21
14,1000000000,4850.67,2311801,21560089,77561735,161930429,224435440,220987452,159285118,85204383,33927035,9892557,2283943,484550,103919,22165,7281,1578,425,77,20,3
15,1000000000,5631.01,364874,5106796,26135661,75608566,145746481,201617786,208673575,164936594,100733164,47487894,17177546,4850182,1198595,271610,66686,16427,5863,1260,307,87,37,6,3
16,1000000000,6494.92,34088,785163,5942227,24041738,63897414,121844273,175680128,196536363,173905964,122430333,68940193,30718850,10902536,3215411,836545,207309,58533,16454,4473,1363,423,165,24,17,6,7
17,1000000000,7467.07,1323,65301,826583,4866607,18034377,47190948,93362731,144150995,178234930,178442070,146177687,98084078,53860665,24042415,8828178,2759035,773752,210358,61573,18074,5564,1835,567,228,82,37,1,3,,2,1
18,1000000000,8529.32,11,1854,57171,555455,3023689,11065901,30030771,63405443,107440932,148678990,170343833,162775886,130286217,87391719,48903803,22792419,8928684,3012378,916987,269162,80921,25442,7924,2858,892,415,138,47,41,12,3,1,1
19,1000000000,9701.59,,8,939,27486,257258,1415160,5433672,15833356,36637299,69253638,108786766,143619318,160702950,153149090,124639869,86558231,51120415,25599689,10942614,4058129,1345776,422777,131283,42281,13990,5017,1818,636,309,142,55,8,8,7,6
20,1000000000,10996.6,,,1,187,7369,79198,478791,2030760,6561386,17045489,36569427,65960598,101128691,133060576,150896701,148323173,126376767,93396426,59618795,32823180,15595526,6461112,2380582,808313,263579,86938,29325,10303,3952,1648,736,297,60,51,37,23,2,,1
21,1000000000,12406.3,,,,,13,922,14257,107516,534721,1993911,5960977,14797073,31033377,55856007,86816173,117495678,139022652,144466160,131863821,105875460,74458224,45828193,24624374,11609246,4837775,1826175,640566,218824,74464,26370,10043,4115,1607,663,329,181,86,20,4,11,10,1,,,,,1
